213040,"ORION: Prelude Dedicated Server","unknown (No License)","unknown (No License)",false,false
215350,"Killing Floor Dedicated Server - Win32","unknown (No License)","unknown (No License)",false,false
215360,"Killing Floor Dedicated Server - Linux","unknown (No License)","unknown (No License)",false,false
216280,"Serious Sam 3 - Linux DedServer","unknown (No License)","unknown (No License)",false,false
220070,"Chivalry: Medieval Warfare Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
222860,"Left 4 Dead 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
223160,"Ravaged Dedicated Server","unknown (No License)","unknown (No License)",false,false
223240,"Red Orchestra Windows Dedicated Server","unknown (No License)","unknown (No License)",false,false
223250,"Red Orchestra Linux Dedicated Server","unknown (No License)","unknown (No License)",false,false
223350,"DayZ Server","unknown (No License)","unknown (No License)",false,false
224620,"Primal Carnage Dedicated Server","unknown (No License)","unknown (No License)",false,false
227040,"Left 4 Dead 2 Beta - Win32 Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
227050,"Left 4 Dead 2 Beta - Linux Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Invalid Platform,Permanent,)",true,false
228780,"Blade Symphony Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
230030,"Painkiller Hell & Damnation Dedicated Server","unknown (No License)","unknown (No License)",false,false
232130,"Killing Floor 2 - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
232250,"Team Fortress 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
232330,"Counter-Strike: Source Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
233780,"Arma 3 Server","unknown (No License)","unknown (No License)",false,false
237410,"Insurgency Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
238690,"Rising Storm Beta Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
239510,"America's Army: Proving Grounds Beta Dedicated Server","unknown (No License)","unknown (No License)",false,false
258550,"Rust Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
293030,"Contagion Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
294420,"7 Days to Die Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
