1911460,"Infinite Progression Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1911970,"OverShoot Battle Race [ Dedicated Server ]","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1925900,"Server Owner Tycoon","unknown (No License)","unknown (No License)",false,false
1926100,"RealTennisServer","unknown (No License)","unknown (No License)",false,false
1932270,"Condemned Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1936460,"TheDark Dedicated Server","unknown (No License)","unknown (No License)",false,false
1936830,"nanos world™ Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1940990,"Ironsight Test Server","unknown (No License)","unknown (No License)",false,false
1948160,"Euro Truck Simulator 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1948990,"Snapshot VR Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Invalid Platform,Permanent,)",true,false
1951690,"Worst World Dedicated Server","unknown (No License)","unknown (No License)",false,false
1956500,"Draconia Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1963720,"Core Keeper Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1964150,"Perfect Heist 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1978540,"dedicated servers","unknown (No License)","unknown (No License)",false,false
1978930,"Project Speed 2 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
1984310,"Animal Babysister Fighter Dedicated Server","unknown (No License)","unknown (No License)",false,false
1990390,"Splitgate - Test Server","unknown (No License)","unknown (No License)",false,false
1992220,"Escape from Polykov - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2009240,"生死狙击2 Test Server","unknown (No License)","unknown (No License)",false,false
2050860,"Mechabellum Test Server","unknown (No License)","unknown (No License)",false,false
2058450,"Swords 'n Magic and Stuff Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2059840,"Dysterra Demo Dedicated Server","unknown (No License)","unknown (No License)",false,false
2069670,"defect dedicated server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2070070,"Zero World Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2093570,"Lightphobe Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2101160,"Turbo Force Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2103880,"Assault Wing Dedicated Server","unknown (No License)","unknown (No License)",false,false
2116400,"Bounters Playtest Server","unknown (No License)","unknown (No License)",false,false
2131400,"VEIN Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2132500,"LAZ3RZ Dedicated Server","unknown (No License)","unknown (No License)",false,false
2138530,"Wrangel Island Playtest - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2145990,"Polity - Test Server","unknown (No License)","unknown (No License)",false,false
2150040,"Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2160300,"Re-Spawn Tournament Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2164830,"Karagon Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2181210,"JBMod Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2278520,"Enshrouded Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2286480,"Endless Survival Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2291821,"StarRaver - Observer Skin","unknown (No License)","unknown (No License)",false,false
2292470,"Rock Hoppers Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2293960,"Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2306520,"STRIKE ZOMBIE - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2311970,"Totally Accurate Battlegrounds Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2318110,"DSO Dedicated Server","unknown (No License)","unknown (No License)",false,false
2320610,"Nienix Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2329540,"Boss Arena Dedicated Server","unknown (No License)","unknown (No License)",false,false
2329680,"NoOneSurvivedDedicatedServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2334200,"The Front Linux Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2334460,"Unknown To Mankind Test Servers Playtest","unknown (No License)","unknown (No License)",false,false
2342570,"ISZDedicatedServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2350650,"Battlement Dedicated Server","unknown (No License)","unknown (No License)",false,false
2353090,"NEBULOUS Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2369620,"Dedicated Server","unknown (No License)","unknown (No License)",false,false
2392470," Dedicated Server ScrewUp","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2394010,"Palworld Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2406780,"Banana Shooter Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2409440,"New Citizen dedicated servers","unknown (No License)","unknown (No License)",false,false
2414480,"Lost Isle Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2416070,"Shattered: Dedicated Server","unknown (No License)","unknown (No License)",false,false
2430930,"ARK: Survival Ascended Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2440790,"DUOnline Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2454010,"Semicolon Island Dedicated Server","unknown (No License)","unknown (No License)",false,false
2454130,"Undead Outpost Dedicated Server","unknown (No License)","unknown (No License)",false,false
2465200,"Sons Of The Forest Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2515600,"Your Journey of Survival Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2533070,"TerraTech Worlds Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2536350,"ZSGO Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2560920,"LSZDedicatedServer","unknown (No License)","unknown (No License)",false,false
2570570,"NOVAKIN Mark0 Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2577840,"Athos Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2580320,"Project Amaranth Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2584780,"Dead Matter Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2612550,"The Front Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2619010,"Helion - Dedicated Server","unknown (No License)","unknown (No License)",false,false
2636050,"Bloodbound Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2662210,"Astro Colony Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2667530,"Sunkenland Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2684970,"炭熄 dedicate server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2690320,"DUCKSIDE Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2691380,"Dedicated Server","unknown (No License)","unknown (No License)",false,false
2703580,"SCP: EVENT CLASSIFIED (Dedicated Server)","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2715080,"Native Hunter Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2738040,"Silica Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2789180,"Project Asteroids Community Server","unknown (No License)","unknown (No License)",false,false
2807720,"Project Chaos Server","unknown (No License)","unknown (No License)",false,false
2809600,"SlimChanceServer","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2823750,"Wild Omission Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2832030,"ANEURISM IV Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2833050,"No Love Lost Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2834640,"Paintball Playground Dedicated Server","unknown (No License)","unknown (No License)",false,false
2842470,"Project Ethereal - Dedicated Server Toolbox","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2849410,"Dragons Legacy - Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2857200,"Abiotic Factor Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2886350,"Sapiens Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2915100,"Echoes of Elysium Dedicated Server","unknown (No License)","unknown (No License)",false,false
2915550,"FOUNDRY: Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2915930,"Knockout City - Private Server Edition","unknown (No License)","unknown (No License)",false,false
2917780,"Primal Earth Dedicated Server","unknown (No License)","unknown (No License)",false,false
2927090,"LAZERZ Dedicated Server","unknown (No License)","unknown (No License)",false,false
2934900,"Astro Colony Dedicated Server Linux","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
2943070,"Desynced Dedicated Server","released (Subscribed,Invalid Platform,Permanent,)","released (Subscribed,Permanent,)",false,true
2948910,"CAMPS Server","unknown (No License)","unknown (No License)",false,false
2981140,"Coreborn Dedicated Server","released (Subscribed,Permanent,)","released (Subscribed,Permanent,)",true,true
3267730,"Linux Dedicated Server Files","unknown (No License)","unknown (No License)",false,false
3267740,"Windows Dedicated Server Files","unknown (No License)","unknown (No License)",false,false
