5;unknown (Subscribed,Invalid Platform,Permanent,)
90;released (Subscribed,Permanent,)
205;released (Subscribed,Permanent,)
210;unknown (No License)
310;released (Subscribed,Permanent,)
510;unknown (No License)
540;unknown (No License)
560;unknown (No License)
635;unknown (No License)
740;released (Subscribed,Permanent,)
1240;unknown (No License)
1273;unknown (No License)
1290;unknown (No License)
2145;unknown (No License)
2403;unknown (No License)
2413;unknown (No License)
2460;unknown (No License)
2740;unknown (No License)
4020;released (Subscribed,Permanent,)
4207;unknown (No License)
4210;unknown (No License)
4240;unknown (No License)
4270;unknown (No License)
4940;unknown (No License)
8610;unknown (No License)
8680;unknown (No License)
8710;unknown (No License)
8730;unknown (No License)
8770;unknown (No License)
10030;unknown (No License)
13180;unknown (No License)
17505;released (Subscribed,Permanent,)
17515;released (Subscribed,Permanent,)
17525;released (Subscribed,Invalid Platform,Permanent,)
17535;released (Subscribed,Invalid Platform,Permanent,)
17555;released (Subscribed,Invalid Platform,Permanent,)
17575;released (Subscribed,Permanent,)
17585;released (Subscribed,Permanent,)
17595;unknown (No License)
17705;released (Subscribed,Permanent,)
17790;unknown (No License)
18112;unknown (No License)
25740;unknown (No License)
31720;unknown (No License)
33905;unknown (No License)
33935;unknown (No License)
34120;unknown (No License)
34850;unknown (No License)
39580;unknown (No License)
41005;unknown (No License)
41015;unknown (No License)
41080;released (Subscribed,Permanent,)
42750;unknown (No License)
43210;unknown (No License)
44720;unknown (No License)
55280;released (Subscribed,Invalid Platform,Permanent,)
55290;unknown (No License)
57910;unknown (No License)
63220;unknown (No License)
70010;unknown (No License)
72310;unknown (No License)
72780;unknown (No License)
91720;unknown (No License)
96810;unknown (No License)
105610;unknown (No License)
111710;released (Subscribed,Permanent,)
203300;released (Subscribed,Permanent,)
208050;released (Subscribed,Invalid Platform,Permanent,)
210370;unknown (No License)
212542;unknown (No License)
213040;unknown (No License)
215350;unknown (No License)
215360;unknown (No License)
216280;unknown (No License)
220070;released (Subscribed,Permanent,)
222860;released (Subscribed,Permanent,)
223160;unknown (No License)
223240;unknown (No License)
223250;unknown (No License)
223350;unknown (No License)
224620;unknown (No License)
227040;released (Subscribed,Invalid Platform,Permanent,)
227050;released (Subscribed,Permanent,)
228780;unknown (No License)
230030;unknown (No License)
232130;released (Subscribed,Permanent,)
232250;released (Subscribed,Permanent,)
233780;unknown (No License)
237410;released (Subscribed,Permanent,)
238690;released (Subscribed,Permanent,)
239510;unknown (No License)
244310;released (Subscribed,Permanent,)
255470;released (Subscribed,Permanent,)
258550;released (Subscribed,Permanent,)
261020;unknown (No License)
265360;released (Subscribed,Invalid Platform,Permanent,)
273530;released (Subscribed,Permanent,)
276060;released (Subscribed,Permanent,)
294420;released (Subscribed,Permanent,)
295230;released (Subscribed,Permanent,)
298740;released (Subscribed,Permanent,)
299310;released (Subscribed,Invalid Platform,Permanent,)
302200;released (Subscribed,Invalid Platform,Permanent,)
302550;unknown (No License)
313900;released (Subscribed,Permanent,)
317670;released (Subscribed,Permanent,)
319060;unknown (No License)
320850;released (Subscribed,Permanent,)
324870;released (Subscribed,Invalid Platform,Permanent,)
324890;released (Subscribed,Invalid Platform,Permanent,)
328950;released (Subscribed,Invalid Platform,Permanent,)
329710;released (Subscribed,Invalid Platform,Permanent,)
332670;released (Subscribed,Permanent,)
332850;released (Subscribed,Permanent,)
336400;released (Subscribed,Permanent,)
338440;released (Subscribed,Permanent,)
339010;released (Subscribed,Permanent,)
345950;unknown (Subscribed,Invalid Platform,Permanent,)
346680;released (Subscribed,Permanent,)
354060;released (Subscribed,Invalid Platform,Permanent,)
361580;released (Subscribed,Permanent,)
362300;unknown (No License)
367970;released (Subscribed,Permanent,)
369630;released (Subscribed,Permanent,)
378670;released (Subscribed,Permanent,)
381690;released (Subscribed,Invalid Platform,Permanent,)
382030;released (Subscribed,Invalid Platform,Permanent,)
382280;released (Subscribed,Permanent,)
383410;released (Subscribed,Permanent,)
384850;unknown (No License)
393250;released (Subscribed,Permanent,)
402370;released (Subscribed,Permanent,)
403240;released (Subscribed,Permanent,)
