801230;released (Subscribed,Permanent,)
805140;released (Subscribed,Permanent,)
805210;released (Subscribed,Invalid Platform,Permanent,)
817300;released (Subscribed,Permanent,)
823850;released (Subscribed,Permanent,)
824240;released (Subscribed,Permanent,)
824360;released (Subscribed,Permanent,)
839510;released (Subscribed,Permanent,)
842840;unknown (No License)
842841;unknown (No License)
844410;released (Subscribed,Permanent,)
844650;released (Subscribed,Permanent,)
848490;released (Subscribed,Permanent,)
859010;released (Subscribed,Permanent,)
878760;unknown (No License)
881430;released (Subscribed,Permanent,)
881600;released (Subscribed,Invalid Platform,Permanent,)
882430;released (Subscribed,Permanent,)
886440;released (Subscribed,Permanent,)
888520;released (Subscribed,Invalid Platform,Permanent,)
896050;released (Subscribed,Permanent,)
897590;released (Subscribed,Permanent,)
904710;released (Subscribed,Invalid Platform,Permanent,)
908290;unknown (No License)
912290;released (Subscribed,Invalid Platform,Permanent,)
915070;released (Subscribed,Invalid Platform,Permanent,)
916110;released (Subscribed,Permanent,)
931580;released (Subscribed,Permanent,)
939320;unknown (No License)
944490;released (Subscribed,Permanent,)
947870;released (Subscribed,Permanent,)
950080;released (Subscribed,Invalid Platform,Permanent,)
950290;released (Subscribed,Permanent,)
955080;released (Subscribed,Permanent,)
965690;released (Subscribed,Permanent,)
974130;released (Subscribed,Permanent,)
976380;released (Subscribed,Permanent,)
983360;released (Subscribed,Invalid Platform,Permanent,)
985050;released (Subscribed,Permanent,)
988950;released (Subscribed,Permanent,)
996560;released (Subscribed,Permanent,)
996600;released (Subscribed,Invalid Platform,Permanent,)
1006030;released (Subscribed,Permanent,)
1006890;released (Subscribed,Invalid Platform,Permanent,)
1010510;released (Subscribed,Permanent,)
1012730;unknown (No License)
1017070;released (Subscribed,Invalid Platform,Permanent,)
1023620;released (Subscribed,Permanent,)
1026340;released (Subscribed,Permanent,)
1041160;unknown (No License)
1050410;unknown (No License)
1054680;unknown (No License)
1071470;released (Subscribed,Permanent,)
1075180;released (Subscribed,Permanent,)
1075820;released (Subscribed,Invalid Platform,Permanent,)
1084900;released (Subscribed,Permanent,)
1086350;released (Subscribed,Permanent,)
1088320;released (Subscribed,Permanent,)
1101560;unknown (No License)
1110390;released (Subscribed,Permanent,)
1111260;released (Subscribed,Invalid Platform,Permanent,)
1119550;released (Subscribed,Invalid Platform,Permanent,)
1129070;released (Subscribed,Permanent,)
1136460;released (Subscribed,Permanent,)
1136510;released (Subscribed,Permanent,)
1171790;released (Subscribed,Invalid Platform,Permanent,)
1183370;released (Subscribed,Permanent,)
1189160;released (Subscribed,Permanent,)
